,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
3015,メイア,「……あっ」,M-01/style_B,,,,back-006/FI,,,,,,,,,,,$
3016,クライン,「……メイア」,M-01/style_B,K-05,,,back-006,,,,,,,,,V-3016,,$
3017,クライン,「…………」,M-01/style_B,K-07,,,back-006,,,,,,,BGM-006/CI,,V-3017,,$
3018,クライン,「よっ！　今日も買い物か？」,M-01/style_B,K-03,,,back-006,,,,,,,,,V-3018,,$
3019,メイア,「クライン、大丈夫なの？　体は……」,M-04/style_B,K-03,,,back-006,,,,,,,,,,,$
3020,クライン,"「大丈夫だよ！　ほら、いつも通りだろ？
あんたが心配することなんてないよ」",M-04/style_B,K-03,,,back-006,,,,,,,,,V-3020,,$
3021,メイア,「……そう、だけど……」,M-04/style_B,K-03,,,back-006,,,,,,,,,,,$
3022,クライン,「吸血鬼だってあっさり倒しただろ。な、問題なし！」,M-04/style_B,K-03,,,back-006,,,,,,,,,V-3022,,$
3023,クライン,"「んで？　今日は何を買うんだよ。
荷物持ちしてやろうか？　いつもみたいにさ」",M-04/style_B,K-01,,,back-006,,,,,,,,,V-3023,,$
3024,メイア,「…………」,M-04/style_B,K-01,,,back-006,,,,,,,,,,,$
3025,メイア,「……クライン。あの日……」,M-07/style_B,K-01,,,back-006,,,,,,,,,,,$
3026,クライン,「……またその話かよ」,M-07/style_B,K-07,,,back-006,,,,,,,,,V-3026,,$
3027,クライン,「だーから、ただのビタミン剤！　それでいいだろ！」,M-07/style_B,K-07,,,back-006,,,,,,,,,V-3027,,$
3028,メイア,"「どうしてそんなに隠そうとするの？
あのときのクライン、明らかにおかしかった……私、クラインが心配で……」",M-04/style_B,K-07,,,back-006,,,,,,,,,,,$
3029,クライン,"「心配することなんて何も無いだろ。
オレは見た通り元気だし、吸血鬼だってあっさり倒した！
ほら、あんたが気に掛けることない」",M-04/style_B,K-02,,,back-006,,,,,,,,,V-3029,,$
3030,メイア,「でも……あのときのクライン、苦しそうだった……」,M-07/style_B,K-02,,,back-006,,,,,,,,,,,$
3031,クライン,「苦しくねえって！　いい加減しつこいぞ、メイア！」,M-07/style_B,K-08,,,back-006,,,,,,,,,V-3031,,$
3032,クライン,"「いいだろ、倒したんだから何でも！
皆オレにあの強さを望んでるんだ、オレは皆が望む強さを持ってる！　それでいいだろ！」",M-07/style_B,K-08,,,back-006,,,,,,,,,V-3032,,$
3033,クライン,「大体、強くないオレなんて誰も見やしないくせに……！」,M-07/style_B,K-08,,,back-006,,,,,,,,,V-3033,,$
3034,メイア,「……何……どういうこと？」,M-04/style_B,K-08,,,back-006,,,,,,,,,,,$
3035,クライン,「ッ……！」,M-04/style_B,K-06,,,back-006,,,,,,,,,V-3035,,$
3036,クライン,「……あーー……」,M-04/style_B,K-07,,,back-006,,,,,,,,,V-3036,,$
3037,グレイ,「お、クラインに……メイアさん。奇遇やなあ」,M-04/style_B,,G-01,K-07,back-006,,,,,,,BGM-006/FO,SE-003,V-3037,,$
3038,メイア,「……！　グレイさん！」,M-05/style_B,,G-01,K-07,back-006,,,,,,,,,,,$
3039,グレイ,「名前覚えてくれてたんか。おおきに」,M-05/style_B,,G-02,K-07,back-006,,,,,,,BGM-022/CI,,V-3039,,$
3040,メイア,「はい。クラインがよく話していますから」,M-01/style_B,,G-02,K-07,back-006,,,,,,,,,,,$
3041,グレイ,「ほお、それはそれは……」,M-01/style_B,,G-01,K-07,back-006,,,,,,,,,V-3041,,$
3042,グレイ,"「しかし、キミら本当に仲がええなあ。
見るたび一緒におる」",M-01/style_B,,G-01,K-07,back-006,,,,,,,,,V-3042,,$
3043,メイア,「う……」,M-04/style_B,,G-01,K-07,back-006,,,,,,,,,,,$
3044,メイア,（今、ちょっとぎくしゃくしちゃってるけど……）,M-04/style_B,,G-01,K-07,back-006,,,,,,,,,,,$
3045,クライン,「…………」,,,G-01,K-07,back-006,,,,,,,,,V-3045,,$
3046,グレイ,「……なんや、喧嘩中か？」,,,G-01,K-07,back-006,,,,,,,,,V-3046,,$
3047,クライン,「別に、そんなんじゃ……」,,,G-01,K-07,back-006,,,,,,,,,V-3047,,$
3048,グレイ,"「お前がそんなぶすくれた顔すること、喧嘩以外で無いやろ。
何があったんや？　俺に話してみい」",,,G-01,K-07,back-006,,,,,,,,,V-3048,,$
3049,クライン,「っだから、何もねえよ！」,,,G-06,K-08,back-006,,,,,,,,,V-3049,,$
3050,グレイ,「…………」,,,G-06,K-08,back-006,,,,,,,,,V-3050,,$
3051,クライン,「……オレ、見回り残ってるから」,,,G-06,K-07,back-006/SE_textout,,,,,,,,,V-3051,,$
3052,グレイ,「……あらあ、思ったより深刻そうやな」,,G-06,,,back-006,,,,,,,,SE-003,V-3052,,$
3053,メイア,「……」,M-04/style_B,G-06,,,back-006,,,,,,,,,,,$
3054,グレイ,"「まあ……そんな気にすることもあらへんと思うで。
あいつ、カッとなるとすぐああなるからなあ」",M-04/style_B,G-01,,,back-006,,,,,,,,,V-3054,,$
3055,メイア,「……すみません、ご心配をおかけしてしまって」,M-10/style_B,G-01,,,back-006,,,,,,,,,,,$
3056,グレイ,"「そんなん、お礼言わんでもええよ。
俺かて、自分らには仲良うしてもらわんと困るしな」",M-10/style_B,G-01,,,back-006,,,,,,,,,V-3056,,$
