,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
2684,ローズ,「あ……！　メイアさん！」,,,,,back-006,,,,,,,,,,,$
2685,マリー,「おねえちゃーん！」,,,,,back-006,,,,,,,,,,,$
2686,メイア,「……！　マリーちゃん！」,,,,,back-006,,,,,,,,,,,$
2687,ローズ,"「良かった。探していたんです。あの日のこと、お礼を言いたくて……
ばたば	たしていてしっかりお礼を言う機会を逃していましたから」",,,,,back-006,,,,,,,,,,,$
2688,ローズ,「メイアさん、娘を助けて頂き本当にありとうございました」,,,,,back-006,,,,,,,,,,,$
2689,メイア,"「そんな、私は何も……
実際助けたのもクラインですし、私は何もしていませんよ」",,,,,back-006,,,,,,,,,,,$
2690,マリー,「おねえちゃん、マリーのこと見つけてくれたよ」,,,,,back-006,,,,,,,,,,,$
2691,メイア,「……！」,,,,,back-006,,,,,,,,,,,$
2692,マリー,「たすけてくれて、ありがとう！」,,,,,back-006,,,,,,,,,,,$
2693,メイア,「……うん、どういたしまして」,,,,,back-006,,,,,,,,,,,$
2694,ローズ,"「それで、これ……ささやかなお礼です。
受け取って下さい……っと」",,,,,back-006,,,,,,,,,,,$
2695,メイア,「えっ？　……お、重そう……これ……野菜ですか？」,,,,,back-006,,,,,,,,SE-013,,,$
2696,ローズ,"「私の家は農家なんです。時期外れのものも栽培していまして……
お礼できる品といえば、これくらいしかありませんから」",,,,,back-006,,,,,,,,,,,$
2697,メイア,"「で、でもこんなに沢山……！
受け取れませんよ！」",,,,,back-006,,,,,,,,,,,$
2698,ローズ,"「いいんです、もらって下さい！
そのためにわざわざ荷車使ってここまで持ってきたんですから」",,,,,back-006,,,,,,,,,,,$
2699,マリー,"「マリーもしゅうかくしたの！
おねえちゃんにあげるから！」",,,,,back-006,,,,,,,,,,,$
2700,メイア,「マリーちゃん……」,,,,,back-006,,,,,,,,,,,$
2701,メイア,"「えっと、じゃあ……頂きます。
ありがとうございます」",,,,,back-006,,,,,,,,,,,$
2702,メイア,「……って、重……！」,,,,,back-006,,,,,,,,,,,$
2703,クライン,"「ん……？　なんだなんだ、道の真ん中で……
って、随分重そうだな。何入ってんだ？」",,K-05,,,back-006,,,,,,,,SE-006,V-2703,,$
2704,メイア,「あ……クライン！」,,K-05,,,back-006,,,,,,,,,,,$
2705,ローズ,「クラインさん。貴方にもお礼を言いたくて……」,,K-05,,,back-006,,,,,,,,,,,$
2706,クライン,「お礼？　何の……」,,K-05,,,back-006,,,,,,,,,V-2706,,$
2707,マリー,「おにいちゃん！」,,K-05,,,back-006,,,,,,,,,,,$
2708,クライン,「あ……おまえ、あのときの！」,,K-01,,,back-006,,,,,,,,,V-2708,,$
2709,クライン,「そっか、あの後大丈夫だったか？」,,K-01,,,back-006,,,,,,,,,V-2709,,$
2710,ローズ,「お陰様で。本当にありがとうございました」,,K-01,,,back-006,,,,,,,,,,,$
2711,クライン,"「いいって、礼なんて。
軍人として当然のことをしたまでだ」",,K-03,,,back-006,,,,,,,,,V-2711,,$
2712,ローズ,"「娘を助けて頂いたんです。そんなわけにはいきません。
それで……これ、クラインさんにも……っ」",,K-03,,,back-006,,,,,,,,,,,$
2713,クライン,「うおっ……これ、メイアも貰ってた……あ、野菜か！？」,,K-05,,,back-006,,,,,,,,SE-013,V-2713,,$
2714,ローズ,「はい。どうか貰って下さい」,,K-05,,,back-006,,,,,,,,,,,$
2715,クライン,"「でもこんな、悪ぃよ。あんたの商売道具だろ？
それをこんなに貰っちまうっていうのは……」",,K-07,,,back-006,,,,,,,,,V-2715,,$
2716,マリー,「これもね、マリーがしゅうかくしたんだよ！」,,K-07,,,back-006,,,,,,,,,,,$
2717,クライン,「……えっ？」,,K-05,,,back-006,,,,,,,,,V-2717,,$
2718,マリー,"「こっちのおイモと、かぼちゃ！
マリーね、だいすきなの！　おにいちゃんもすきだとおもう！」",,K-05,,,back-006,,,,,,,,,,,$
2719,マリー,「だから、たべてね！」,,K-05,,,back-006,,,,,,,,,,,$
2720,クライン,"「……参ったな。
女の子にこうまで言われちゃ、断れるもんも断れねえ」",,K-01,,,back-006,,,,,,,,,V-2720,,$
2721,クライン,"「わかった。貰うよ。
ありがとな、マリー。それにローズさんも」",,K-03,,,back-006,,,,,,,,,V-2721,,$
2722,マリー,「どういたしまして！」,,K-03,,,back-006,,,,,,,,,,,$
2723,ローズ,"「本当に、ありがとうございました。
このご恩は絶対に忘れません。……さ、行くわよ。マリー」",,K-03,,,back-006,,,,,,,,,,,$
2724,マリー,「ばいばーい！」,,K-03,,,back-006,,,,,,,,,,,$
2725,メイア,「ふふ、ばいばい！」,,K-03,,,back-006,,,,,,,,,,,$
2726,クライン,「…………」,,K-01,,,back-006,,,,,,,,SE-006,V-2726,,$
2727,クライン,「……なあ、メイア」,,K-07,,,back-006,,,,,,,,,V-2727,,$
2728,メイア,「え、何？」,,K-07,,,back-006,,,,,,,,,,,$
2729,クライン,「オレの分の野菜、あんたが貰ってくれないか？」,,K-07,,,back-006,,,,,,,,,V-2729,,$
2730,メイア,「……えっ！？　どうして！？」,,K-07,,,back-006,,,,,,,,,,,$
2731,メイア,"「クラインが貰ったものでしょう？
クラインが食べなきゃダメだよ」",,K-07,,,back-006,,,,,,,,,,,$
2732,クライン,「や、それは分かるんだが……」,,K-07,,,back-006,,,,,,,,,V-2732,,$
2733,メイア,「……もしかして、野菜嫌いなの？」,,K-07,,,back-006,,,,,,,,,,,$
2734,クライン,"「違う、そんなことない！
食うこと自体はいいんだ。そうじゃなく て……」",,K-05,,,back-006,,,,,,,,,V-2734,,$
2735,クライン,「……オレ、料理できないんだよ」,,K-07,,,back-006,,,,,,,,,V-2735,,$
2736,メイア,「え……そうだったの？」,,K-07,,,back-006,,,,,,,,,,,$
