,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
3117,メイア,「…………」,,,,,back-004-sun,,,,,,,,,,,$
3118,メイア,「……今日こそは、ちゃんとクラインと話さないと」,,,,,back-004-sun,,,,,,,,,,,$
3119,メイア,"（……少し、避けられてるような気もするけど……
でも、グレイさんも気にしてるし……このままじゃ、いけないよね）",,,,,back-004-sun,,,,,,,,,,,$
3120,メイア,「……うん、行こう」,,,,,back-004-sun/FO,,,,,,,,,,,$
3121,リート,「……メイア、いるか？　少し話がしたいんだが」,,L-01,,,back-015-sun/FI,,,,,,,,SE-009,V-3121,,$
3122,リート,「……メイア？」,,L-01,,,back-015-sun/FO,,,,,,,,,V-3122,,$
3123,リート,「……」,,L-05,,,back-004-sun/FI,,,,,,,,SE-024,V-3123,,$
3124,リート,「……また、か」,,L-04,,,back-004-sun/FO,,,,,,,,,V-3124,,$
3125,メイア,「……あれ？」,,,,,back-006/FI,,,,,,,,,,,$
3126,メイア,（……なんで、誰も居ないんだろう）,,,,,back-006/FO,,,,,,,,,,,$
3127,メイア,「……」,,,,,back-007/SI/SO,,,,,,,,,,,$
3128,メイア,「……ここも」,,,,,back-019/SI/SO,,,,,,,,,,,$
3129,メイア,「……どうして、誰も居ないの？」,,,,,back-017/SI,,,,,,,,,,,$
3130,メイア,「まさか……また、何か……」,,,,,back-017,,,,,,,,,,,$
3131,メイア,「ッ！」,,,,,back-017,,,,,,,,SE-038,,,$
3132,吸血鬼,「ウウゥ……」,,,,,back-017,,,,,,,,,,,$
3133,メイア,「っ……吸血鬼！？」,,,,,back-017,,,,,,,,,,,$
3134,紳士,「……おお、本当にいた！　この甘い匂い……間違いなく『黄金の血』だ！」,,,,,back-017,,,,,,,,,,,$
3135,メイア,「……え……っ」,,,,,back-017,,,,,,,,,,,$
3136,紳士,"「何百年も探していた、至高の血……！
噂は本当だったのか！」",,,,,back-017,,,,,,,,,,,$
3137,メイア,（『黄金の血』……って、前にも聞いた……）,,,,,back-017,,,,,,,,,,,$
3138,紳士,"「お前たち、殺すなよ。気を失わせるだけでいい。
……行け！」",,,,,back-017,,,,,,,,,,,$
3139,吸血鬼,「グルルル……！」,,,,,back-017,,,,,,,,SE-038,,,$
3140,メイア,「っ、いや……！」,,,,,back-017,,,,,,,,,,,$
3141,メイア,（数が多すぎる……これじゃ……！）,,,,,back-017,,,,,,,,,,,$
3142,クライン,「──うらあッ！！」,,K-08,,,back-017,,,,,,,,SE-015,V-3142,,$
3143,メイア,「クライン……！」,,K-08,,,back-017,,,,,,,,,,,$
3144,クライン,"「っ、お前なんで外出てるんだよ！
吸血鬼が出たから避難しろって、聞いてなかったのか！？」",,K-06,,,back-017,,,,,,,,,V-3144,,$
3145,クライン,"「あ……クソ、あんたの家は森の奥だったか。
連絡来るはずねえよな」",,K-07,,,back-017,,,,,,,,,V-3145,,$
3146,クライン,"「にしても、なんでこんな数ッ……
今まではこんなことなかったのに！」",,K-08,,,back-017,,,,,,,,,V-3146,,$
3147,紳士,「……？　また人間か。厄介だな……」,,K-08,,,back-017,,,,,,,,,,,$
3148,紳士,「黄金の血以外に興味はない。お前達で勝手にしろ」,,K-08,,,back-017,,,,,,,,,,,$
3149,吸血鬼,「グオォォォ！」,,K-08,,,back-017,,,,Shake,,,,SE-038,,,$
3150,クライン,「ぐっ……！　この、数で押してきやがって……！」,,K-09,,,back-017,,,,,,,,SE-004,V-3150,,$
3151,メイア,「クライン……！」,,K-09,,,back-017,,,,,,,,,,,$
3152,クライン,「ッ……」,,K-09,,,back-017,,,,,,,,,V-3152,,$
3153,クライン,「オレは……オレは、強くないと……でなきゃ……！」,,K-09,,,back-017,,,,,,,,,V-3153,,$
3154,メイア,「……！　だめ！！」,,K-09,,,back-017,,,,,N-object-011,,,SE-019,,,$
3155,クライン,「ぐっ、う……おおおっ！！」,,K-11,,,back-017,,,,,,,,SE-037,V-3155,,$
3156,吸血鬼,「グゥ……！」,,K-11,,,back-017,,,,,,efect-03,,SE-015,,,$
3157,クライン,"「雑魚どもが、調子に乗りやがって……
オレは、お前らなんかに負けるわけにはいかねえんだよ！」",,K-09,,,back-017,,,,,,,,,V-3157,,$
3158,吸血鬼,「グアァ……！」,,K-09,,,back-017,,,,,,,,SE-015,,,$
3159,クライン,「ッハ……クソ！」,,K-09,,,back-017,,,,,,,,,V-3159,,$
3160,メイア,"「……！　まって、クライン！
そんな一度に……！」",,K-09,,,back-017,,,,,N-object-011,,,SE-019,,,$
3161,クライン,「うるせえ、黙ってろ！」,,K-09,,,back-017,,,,,,,,,V-3161,,$
3162,クライン,「オレは……オレは、強くなくちゃいけねえんだよ！！」,,K-09,,,back-017,,,,,,,,,V-3162,,$
3163,紳士,"「……はあ、これが噂に聞く『吸血鬼化』か。
いや、少し違うのか？」",,K-09,,,back-017,,,,,,,,,,,$
3164,紳士,「参ったな。部下が全部倒されてしまった」,,K-09,,,back-017,,,,,,,,,,,$
3165,クライン,「ッ、ハ……っあと、一体……！」,,K-11,,,back-017,,,,,,,,,V-3165,,$
3166,紳士,"「すごい汗だな。薬の使いすぎじゃないか？
見たところ、四本は投薬したな」",,K-11,,,back-017,,,,,,,,,,,$
3167,クライン,「ッ……てめえに心配される筋合いはねえ……！」,,K-11,,,back-017,,,,,,,,,V-3167,,$
3168,紳士,"「それは失敬。しかし……まがい物の力を持った人間、か。
……遊び相手には 丁度いい」",,K-11,,,back-017,,,,,,,,,,,$
3169,紳士,「その力がどれほどのものか……純血種である私が試してやろう」,,K-11,,,back-017,,,,,,,,,,,$
3170,クライン,「……っ！？　純血……！？」,,K-06,,,back-017,,,,,,,,,V-3170,,$
3171,クライン,「……クソッ……んで、こんなときに……！」,,K-08,,,back-017,,,,,,,,,V-3171,,$
3172,メイア,「クライン……もう……！」,,K-08,,,back-017,,,,,,,,,,,$
3173,クライン,「うるさい、オレはやれる！」,,K-08,,,back-017,,,,,,,,,V-3173,,$
3174,クライン,"「オレは……オレは、純血種にだって勝てる！
そうでないと、ここにいる意味が無い！！」",,K-09,,,back-017/SE_textout,,,,,,,,SE-031,V-3174,,$
3175,メイア,「……！」,,K-09,,,back-017,,,,,,,,,,,$
3176,グレイ,「──そこまでや。……銀蝶隊、戦闘態勢！」,,G-04,,,back-017,,,,,,,,SE-039,V-3176,,$
3177,紳士,「……タイムリミットか。ここまで来て……仕方あるまい」,,G-04,,,back-017/SE_textout,,,,,,,,SE-030,,,$
3178,メイア,「消えた……！？」,,G-04,,,back-017,,,,,,,,,,,$
3179,グレイ,"「『異能』、やな。上級の吸血鬼が使える魔法みたいなもんや。
……あの感じ、純血種か。仕留め損なったんは厄介やな……」",,G-04,,,back-017,,,,,,,,,V-3179,,$
3180,クライン,「ッ……」,,,G-04,K-11,back-017,,,,,,,,,V-3180,,$
3181,グレイ,"「あの吸血鬼、また来るで。今のうちに準備しとき。
索敵結界張るの忘れるんやないで」",,,G-04,K-11,back-017,,,,,,,,,V-3181,,$
3182,銀蝶隊,「「ハッ！」」,,,G-04,K-11,back-017,,,,,,,,SE-039,,,$
3183,グレイ,「……で、クライン。おまえは……」,,,G-03,K-11,back-017,,,,,,,,,V-3183,,$
3184,クライン,「……ぐ、う……ッは、はあ……っ」,,,G-03,K-11,back-017,,,,,,,,,V-3184,,$
3185,グレイ,"「……そのまんまやと、ただの足手まといやな。しゃーない、肩貸すわ。
一度 落ち着いたところで休んだほうがええ」",,,G-03,K-11,back-017,,,,,,,,,V-3185,,$
3186,グレイ,「お嬢ちゃんは一度戻りや。屋敷、森の中なんやろ？」,,G-03,,,back-017,,,,,,,,,V-3186,,$
3187,グレイ,"「多分、そこが一番安全や。途中まではうちの隊員を付き添わせる。
なんかあったら俺に連絡が行くようになっとるから」",,G-03,,,back-017,,,,,,,,,V-3187,,$
3188,メイア,「で、でも……クラインは……！」,,G-03,,,back-017,,,,,,,,,,,$
3189,グレイ,"「今はろくに話もできんやろ。落ち着いたら話させる。
だから、今は我慢してくれんか。心配なのはよう分かるけどな」",,G-03,,,back-017,,,,,,,,,V-3189,,$
3190,メイア,「……わかり、ました」,,G-03,,,back-017,,,,,,,,,,,$
3191,グレイ,「よっしゃ、ええ子や」,,G-02,,,back-017,,,,,,,,,V-3191,,$
3192,グレイ,"「ほな……ああ、そこのお前。
お嬢ちゃんのこと、途中まで送ってやってくれ」",,G-01,,,back-017,,,,,,,,,V-3192,,$
3193,隊員,「はっ、了解しました！」,,G-01,,,back-017,,,,,,,,,,,$
3194,グレイ,「ん。死ぬ気で守ったり」,,G-02,,,back-017,,,,,,,,,V-3194,,$
3195,グレイ,「ほなな、お嬢ちゃん。気いつけて」,,G-01,,,back-017,,,,,,,,SE-006,V-3195,,$
3196,メイア,「……」,,,,,back-017,,,,,,,,,,,$
3197,メイア,（落ち着いたら……本当に、話してくれるのかな）,,,,,back-017/FO,,,,,,,,,,,$
3198,グレイ,"「はあ……毎度言うとるやろ、用法用量守れって。
連日の使用と過剰摂取で身体が悲鳴上げてるんや。最近の情緒不安定もそれのせいやな」",,,G-04,,back-016/FI,,,,,,,,,V-3198,,$
3199,クライン,"「……悪い。オレ……何もできなかった……
折角のハレルヤも、無駄にして……」",,,G-04,K-07,back-016,,,,,,,,,V-3199,,$
3200,グレイ,"「気に病まんでええ。そもそも、今のこれは未完成品。
直近の診断でも、おまえが薬に適応しつつあるせいで効果が薄くなってるって、出てたやろ」",,,G-01,K-07,back-016,,,,,,,,,V-3200,,$
3201,グレイ,"「やから、おまえは悪くない。おまえは強い、強いクラインのままや。
俺はずっと、お前に期待してるんやで」",,,G-01,K-07,back-016,,,,,,,,,V-3201,,$
3202,クライン,「……グレイさん……」,,,G-01,K-07,back-016,,,,,,,,,V-3202,,$
3203,グレイ,「それにな……悪い話ばかりやない。良いニュースがあるんや」,,,G-01,K-07,back-016,,,,,,,,,V-3203,,$
3204,クライン,「良いニュース……？」,,,G-01,K-05,back-016,,,,,,,,,V-3204,,$
3205,グレイ,「ああ。ハレルヤの完成に目処が立ったんや」,,,G-01,K-05,back-016,,,,,,,,,V-3205,,$
3206,クライン,「……！　本当か！？」,,,G-01,K-05,back-016,,,,,,,,,V-3206,,$
3207,グレイ,"「ほんまや。これでおまえも今みたいに苦しむことはなくなる。
誰よりも強い、 誰にだって求められる人間になれるんや」",,,G-01,K-05,back-016,,,,,,,,,V-3207,,$
3208,クライン,「……！」,,,G-01,K-05,back-016,,,,,,,,,V-3208,,$
3209,クライン,"「なあ、それっていつできるんだ！？
今までは一番肝心な材料が見つからなくて滞ってたけど……その材料はもう手に入ったのか？」",,,G-01,K-02,back-016,,,,,,,,,V-3209,,$
3210,グレイ,「せや、その話をせんといかんな」,,,G-01,K-02,back-016,,,,,,,,,V-3210,,$
3211,クライン,"「材料の場所はもう掴んどる。あとはそれを回収するだけなんやが……
クライン、 おまえにその回収を頼みたい」",,,G-01,K-02,back-016,,,,,,,,,V-3211,,$
3212,グレイ,"「状況的におまえが適任なんや。
どや、頼まれてくれるか？」",,,G-01,K-02,back-016,,,,,,,,,V-3212,,$
3213,クライン,「ああ、もちろん！　なんでもやるぜ。任せてくれよ、グレイさん！」,,,G-01,K-01,back-016,,,,,,,,,V-3213,,$
3214,グレイ,「そらよかった。やっぱりおまえは頼りになるなあ、クライン」,,,G-02,K-01,back-016,,,,,,,,,V-3214,,$
3215,グレイ,"「──ほな、メイア・レオミュールの回収頼むで。
どうせ死ぬんや、最悪殺しても構わん」",,,G-02,K-01,back-016,,,,,,,,,V-3215,,$
3216,クライン,「…………」,,,G-02,K-01,back-016,,,,,,,,,V-3216,,$
3217,クライン,「…………は？」,,,G-02,K-06,back-016,,,,,,,,,V-3217,,$
3218,クライン,"「……な……何言ってんだよ、グレイさん……
なんで今、あいつの名前が……」",,,G-02,K-06,back-016,,,,,,,,,V-3218,,$
3219,グレイ,「『黄金の血』」,,,G-01,K-06,back-016,,,,,,,,,V-3219,,$
3220,クライン,「……っ」,,,G-01,K-06,back-016,,,,,,,,,V-3220,,$
3221,グレイ,"「ハレルヤの完成に必要な、非常に稀な人間の血液。
それの持ち主がお嬢ちゃんなんや」",,,G-01,K-06,back-016,,,,,,,,,V-3221,,$
3222,グレイ,"「おまえが報告して来たんやろ？
吸血鬼がお嬢ちゃんのことをそう呼んでいたって」",,,G-01,K-06,back-016,,,,,,,,,V-3222,,$
3223,グレイ,"「事実、あの子は吸血鬼に襲われ続けている。
普段滅多に現れない純血種が来たのがその最たる証明や」",,,G-01,K-06,back-016,,,,,,,,,V-3223,,$
3224,クライン,「っ……」,,,G-01,K-07,back-016,,,,,,,,,V-3224,,$
3225,クライン,"「で、でも……何も殺す必要は無いだろ。
そうだ、メイアに話して血を提供してもらえばそれでいいじゃねえか！　それなら……」",,,G-01,K-07,back-016,,,,,,,,,V-3225,,$
3226,グレイ,"「何を言うとるんや。ハレルヤはおまえにだけ使うものやない。量産前提やで？　
必要数揃えるには、せめて人一人分の血液は無いとあかんやろ」",,,G-03,K-07,back-016,,,,,,,,,V-3226,,$
3227,クライン,「…………」,,,G-03,K-07,back-016,,,,,,,,,V-3227,,$
3228,グレイ,"「……なあに、平気や。
お嬢ちゃんは『ええ子』やからなあ……」",,,G-01,K-07,back-016,,,,,,,,,V-3228,,$
3229,グレイ,"「おまえのためならどんなことでも協力したい、言うてたで。
おまけに、おまえが何か抱えてることも勘付いてるようやった」",,,G-01,K-07,back-016,,,,,,,,,V-3229,,$
3230,グレイ,「なあ、やから……おまえの望み、あの子に手伝ってもらいや」,,,G-01,K-07,back-016,,,,,,,,,V-3230,,$
3231,クライン,「…………」,,K-06,,,back-016,,,,,,,,,V-3231,,$
3232,クライン,「…………ッ」,,K-07,,,back-016/FO,,,,,,,,,V-3232,,$
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
