,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
3233,リート,「メイア」,,L-01,,,back-015-sun,,,,,,,,,V-3233,,$
3234,メイア,「……リートさん」,,L-01,,,back-015-sun,,,,,,,,,,,$
3235,リート,「またあの軍人のところに行くのか？」,,L-01,,,back-015-sun,,,,,,,,,V-3235,,$
3236,メイア,"「……お仕事には穴を開けません。
お夕食の時間までには間に合わせます」",,L-01,,,back-015-sun,,,,,,,,,,,$
3237,メイア,「……心配、なんです。ちゃんと話を聞かないと……」,,L-01,,,back-015-sun,,,,,,,,,,,$
3238,メイア,「放っておくと、クラインが潰れてしまいそうで……」,,L-01,,,back-015-sun,,,,,,,,,,,$
3239,リート,「…………」,,L-08,,,back-015-sun,,,,,,,,,V-3239,,$
3240,リート,「話がある。少し付き合ってくれないか」,,L-01,,,back-015-sun,,,,,,,,,V-3240,,$
3241,メイア,「え……話、ですか？」,,L-01,,,back-015-sun,,,,,,,,,,,$
3242,リート,"「おそらく、お前の知りたがっていることも分かるだろう。
……お前に話すべきかは迷ったが……やはり、伝えるべきだと判断した」",,L-01,,,back-015-sun,,,,,,,,,V-3242,,$
3243,メイア,「……！」,,L-01,,,back-015-sun,,,,,,,,,,,$
3244,メイア,「……わかりました」,,L-01,,,back-015-sun,,,,,,,,,,,$
3245,リート,「すまない、待たせたな」,,L-01,,,back-005-sun,,,,,,,,SE-024,V-3245,,$
3246,？？？,「ううん、、気にしないで」,,,L-01,T-01,back-005-sun,,,,,,,,,V-3246,,$
3247,メイア,「……？」,,,L-01,T-01,back-005-sun,,,,,,,,,,,$
3248,リート,「お前には初めて会わせるな。彼は、俺の友人だ」,,,L-01,T-01,back-005-sun,,,,,,,,,V-3248,,$
3249,テオドア,"「テオドア・バーンズです。医者と薬師をしているんだ。
リートとは昔からの友人。よろしくね、メイアさん」",,,L-01,T-01,back-005-sun,,,,,,,,,V-3249,,$
3250,メイア,「あ……は、はい。よろしくお願いします……」,,,L-01,T-01,back-005-sun,,,,,,,,,,,$
3251,リート,"「以前、お前に手紙を出してもらったことがあるだろう。あれはこいつ宛のものでな。
郵便に出すより直接投函した方が早い」",,,L-01,T-01,back-005-sun,,,,,,,,,V-3251,,$
3252,テオドア,"「助かったよ。僕、あんまり家いないし。
一日遅かったら見てなかったかも」",,,L-01,T-02,back-005-sun,,,,,,,,,V-3252,,$
3253,メイア,「……ええと……」,,,L-01,T-02,back-005-sun,,,,,,,,,,,$
3254,テオドア,「ああ……ごめんね。こんな雑談をしにきたわけじゃないよね」,,,L-01,T-01,back-005-sun,,,,,,,,,V-3254,,$
3255,テオドア,「リート、本当に彼女に話してしまっていいんだね？」,,,L-01,T-03,back-005-sun,,,,,,,,,V-3255,,$
3256,リート,「ああ、頼む」,,,L-01a,T-03,back-005-sun,,,,,,,,,V-3256,,$
3257,テオドア,「うん、わかった」,,,L-01a,T-01,back-005-sun,,,,,,,,,V-3257,,$
3258,メイア,「……あの、私の知りたいことって……クラインのこと、ですか？」,,,L-01a,T-01,back-005-sun,,,,,,,,,,,$
3259,テオドア,「クライン……リートの言っていた軍人のことだね」,,,L-01a,T-01,back-005-sun,,,,,,,,,V-3259,,$
3260,テオドア,「うん。それと、君自身に関わることだ」,,,L-01a,T-01,back-005-sun,,,,,,,,,V-3260,,$
3261,メイア,「私？」,,,L-01a,T-01,back-005-sun,,,,,,,,,,,$
3262,テオドア,「そうだな……一つずつ話していこうか」,,T-01,,,back-005-sun,,,,,,,,,V-3262,,$
3263,メイア,「……！」,,T-01,,,back-005-sun,,,,,N-object-011,,,SE-040,,,$
3264,テオドア,「これ、見覚えあるかい？」,,T-01,,,back-005-sun,,,,,,,,,V-3264,,$
3265,メイア,"「……クラインが持っていたものです。これを打ったあと、すごく強くなって……
でも、すごく苦しそうにしてて」",,T-01,,,back-005-sun,,,,,,,,,,,$
3266,テオドア,「……そう」,,T-04,,,back-005-sun,,,,,,,,,V-3266,,$
3267,テオドア,"「僕は元々研究者でね。一時期、軍で働いていたこともあるんだけど……
これは、その頃から作られていた強化薬だ」",,T-03,,,back-005-sun,,,,,,,,,V-3267,,$
3268,メイア,「強化薬……？」,,T-03,,,back-005-sun,,,,,,,,,,,$
3269,テオドア,"「『ハレルヤ』……人に吸血鬼と同等の能力を付与することを目的とした、禁断の薬。
これは恐らく、その試作品だ」",,T-03,,,back-005-sun,,,,,,,,,V-3269,,$
