,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
2296,メイア,「……よし、完成」,M-01,,,,back-008/FI,,,,,,,,,,,$
2297,メイア,"（マドレーヌ……クラインに合わせてすごく甘くしてみたけど、どうだろう。
リートさんは絶対に好きじゃないから、お茶菓子には出せないな）",M-04,,,,back-008,,,,,,,,,,,$
2298,メイア,「でも、クラインは気に入ってくれるはず。……渡すの、楽しみだな」,M-01,,,,back-008/FO,,,,,,,,,,,$
2299,メイア,（えっと、クラインは……あ、いた！）,M-01,,,,back-006/FI,,,,,,,,,,,$
2300,メイア,「クライ……」,M-01,,,,back-006,,,,,,,,,,,$
2301,メイア,「……あ」,M-04,,,,back-006,,,,,,,,,,,$
2302,女A,"「ねえクライン！　最近ちょっと付き合い悪くない？
前はもっと声かけてくれてたじゃない」",,K-01,,,back-006,,,,,,,,,,,$
2303,クライン,"「ええっ、そうかあ？　悪い悪い、
じゃあ……そうだな、あんたの行きたいとこ連れてってやるよ。どこ行きたい？」",,K-05,,,back-006,,,,,,,,,V-2303,,$
2304,女B,「ちょっとお！　あたしは！？」,,K-05,,,back-006,,,,,,,,,,,$
2305,クライン,"「ははっ、分かってるよ。
あんたもちゃーんと連れてってやるから」",,K-03,,,back-006,,,,,,,,,V-2305,,$
2306,クライン,「かわいい女の子に悲しい顔させるクライン様じゃねーって、あんたらもわかってるだろ？」,,K-01,,,back-006,,,,,,,,,V-2306,,$
2307,女A・B,「「クライン～～ッ！！」」,,K-01,,,back-006,,,,,,,,,,,$
2308,メイア,「…………」,M-05,K-01,,,back-006,,,,,,,,,,,$
2309,メイア,"（……そっか……クラインって女の子好きだし、
モテてても当然だよね。今までたまたまいなかっただけで、多分あれが普通なんだよね）",M-04,K-01,,,back-006,,,,,,,,,,,$
2310,女A,"「じゃあクライン、さっそく今夜どう？
いつものバー、おいしいお酒が入ったんですって」",,K-01,,,back-006,,,,,,,,,,,$
2311,クライン,「だーかーら、夜は無理だって言ったろ！」,,K-07,,,back-006,,,,,,,,,V-2311,,$
2312,女B,「抜け出してきてよー」,,K-07,,,back-006,,,,,,,,,,,$
2313,クライン,「んなこと言うんだったら遊んでやらねー」,,K-02,,,back-006,,,,,,,,,V-2313,,$
2314,女A,「もー、冗談に決まってるじゃない！」,,K-02,,,back-006,,,,,,,,,,,$
2315,メイア,"（……盛り上がってるな。あんまり邪魔するのもいけないし……
仕方ないけど、出直そう。マドレーヌは明日でも大丈夫だろうし、いいよね）",M-04,,,,back-006,,,,,,,,SE-006,,,$
