,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
2063,メイア,「……よし、焼けた！」,M-01,,,,back-008/FI,,,,,,,,,,,$
2064,メイア,"（割引券で買ったかぼちゃで作ったクッキー！
お金は好きに使っていいって言われてるけど、あんまり無駄遣いはできないから普段じゃ作れないんだよね）",M-01,,,,back-008,,,,,,,,,,,$
2065,メイア,「……うん。甘さも控えめで、美味しい。リートさんも食べてくれそう」,M-01,,,,back-008,,,,,,,,,,,$
2066,メイア,（こっちはリートさんの分で……あと……）,M-01,,,,back-008,,,,,,,,,,,$
2067,メイア,「……クライン、お菓子とかって食べるのかな。お礼にって勝手に作っちゃったけど」,M-04,,,,back-008,,,,,,,,,,,$
2068,メイア,「……甘すぎないし、大丈夫だよね。……うん、持っていこう」,M-01,,,,back-008/FO,,,,,,,,,,,$
2069,メイア,「えっと、クラインは……」,M-01,,,,back-006/FI,,,,,,,,SE-011,,,$
2070,メイア,（あれ、おかしいな。いつもならこの辺ぶらぶらしてるのに）,M-04,,,,back-006,,,,,,,,,,,$
2071,メイア,"（今日はお休みなのかな？
それとも、女の人と何処か遊びに行ってたり……）",M-04,,,,back-006,,,,,,,,,,,$
2072,クライン,「――あとは、このソファを出せばいいんだな？」,M-04,,,,back-006,,,,,,,,,V-2072,,$
2073,メイア,（クラインの声……あ、あそこだ）,M-05,,,,back-006,,,,,,,,,,,$
2074,クライン,「よ……っこいしょ！　これで大丈夫か？」,M-05,K-01,,,back-006,,,,,,,,,V-2074,,$
2075,老父,「ああ、助かったよ！　ありがとう、クライン」,,K-01,,,back-006,,,,,,,,,,,$
2076,クライン,"「いーよいーよ、これくらい任せとけって。
むしろやること無いと報告書に書くこと無いから、助かったよ」",,K-03,,,back-006,,,,,,,,,V-2076,,$
2077,クライン,「しっかし、家のリフォームなんてずいぶん思い切ったなあ。爺さんの年じゃキツイだろ」,,K-05,,,back-006,,,,,,,,,V-2077,,$
2078,老父,"「いや、まだまだよ。今年は妻と結婚して50年なんだ。
あいつのためなら、これくらい屁でもない」",,K-05,,,back-006,,,,,,,,,,,$
2079,クライン,「おお……爺さん、メチャクチャ良い旦那だな！　奥さん絶対喜ぶよ」,,K-03,,,back-006,,,,,,,,,V-2079,,$
2080,クライン,"「オレが手伝えることあったら何でも言えよ。
センスはねーけど、今みたいな力仕事なら任せとけ！」",,K-01,,,back-006,,,,,,,,,V-2080,,$
2081,老父,「頼もしいな。その時はお願いするよ」,,K-01,,,back-006,,,,,,,,,,,$
2082,クライン,「おう！　一緒に奥さん驚かせてやろうぜ！」,,K-03,,,back-006,,,,,,,,,V-2082,,$
2083,女性,「あ、クライン！　ちょうどいいところに」,,K-03,,,back-006,,,,,,,,,,,$
2084,クライン,「おっ、アン！　デートの誘いか？」,,K-01,,,back-006,,,,,,,,,V-2084,,$
2085,女性,「それはまた今度ね。そうじゃなくて、仕入れた食材が重くて運べないの。手伝ってくれない？」,,K-01,,,back-006,,,,,,,,,,,$
2086,クライン,「んだよ、そんなこと……ああウソウソ！　任せとけ、いくらでも運んでやる！」,,K-03,,,back-006,,,,,,,,,V-2086,,$
2087,女性,"「それが終わったら、隣のパン屋さんのところに行ってあげて。
人手が足りなくて困ってるんですって。それから……」",,K-03,,,back-006,,,,,,,,,,,$
2088,クライン,「や、流石に人使い荒くね？　いやまあ、いいけどさ……」,,K-07,,,back-006,,,,,,,,,V-2088,,$
2089,メイア,「…………」,M-05,,,,back-006,,,,,,,,,,,$
2090,メイア,"（……いろんな人がクラインを頼りにしてる。
へらへらしてるけど、信頼されてるんだ）",M-05,,,,back-006,,,,,,,,,,,$
2091,メイア,（そうだよね、クライン……あんまり実感湧かないけど、軍人だもの）,M-01,,,,back-006,,,,,,,,,,,$
2092,メイア,（少し落ち着くまで待っていよう）,M-01,,,,back-006/FO,,,,,,,,,,,$
2093,メイア,「クライン！」,M-01,,,,back-006/FI,,,,,,,,,,,$
2094,クライン,「ん？　今度は……って、メイア」,M-01,K-05,,,back-006,,,,,,,,,V-2094,,$
2095,メイア,「クライン、色んな人に頼りにされてるんだね。びっくりしちゃった」,M-01,K-05,,,back-006,,,,,,,,,,,$
