,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
2417,メイア,「……それで、今日は以前お話した通り……」,M-01,,,,back-005-sun/FI,,,,,,,,,,,$
2418,リート,「わかっている。休暇だろう？」,M-01,L-01,,,back-005-sun,,,,,,,,,V-2418,,$
2419,メイア,"「すみません、
丸一日お仕事に穴を開けてしまって……」",M-04,L-01,,,back-005-sun,,,,,,,,,,,$
2420,リート,"「構わない。
俺はお前を奴隷として働かせているわけではない。
休みくらい好きに取れ」",M-04,L-01a,,,back-005-sun,,,,,,,,,V-2420,,$
2421,メイア,"「リートさん……ありがとうございます！
それでは、行ってきますね」",M-01,L-01a,,,back-005-sun,,,,,,,,,,,$
2422,リート,「ああ」,M-01,L-01,,,back-005-sun/FO,,,,,,,,,V-2422,,$
2423,メイア,「クライン！ ごめんね、待った？」,M-01,L-01,,,back-006/FI,,,,,,,,,,,$
2424,クライン,"「ぜーんぜん！ 今来たところ……
って、この会話まさにデートって感じだな！」",M-01,K-03,,,back-006,,,,,,,,,V-2424,,$
2425,メイア,「恋人じゃないけどね」,M-01,K-03,,,back-006,,,,,,,,,,,$
2426,クライン,「……あんた、マジでまっすぐ言うよな」,M-01,K-07,,,back-006,,,,,,,,,V-2426,,$
2427,メイア,"「それより、今日は劇を見るんだよね？
なんの劇を見るのか、結局今日まで教えてくれなかったから
分からないんだけど……」",M-04,K-07,,,back-006,,,,,,,,,,,$
2428,クライン,"「そりゃ、楽しみはギリギリまで取っておいたほうがいいだろ？
そっちのが楽しいし」",M-04,K-01,,,back-006,,,,,,,,,V-2428,,$
2429,クライン,"「ま、当日だしそろそろいいか。
今日見るのはな、恋愛ものなんだ。
女性に人気の演目だから、あんたも楽しめるんじゃないか？」",M-04,K-01,,,back-006,,,,,,,,,V-2429,,$
2430,メイア,「へえ……クライン、恋愛ものが好きなの？」,M-01,K-01,,,back-006,,,,,,,,,,,$
2431,クライン,"「別に嫌いじゃないけど、好んで見てるわけじゃない。
たまたまだよ」",M-01,K-02,,,back-006,,,,,,,,,V-2431,,$
2432,クライン,"「騎士がヒーローの話なんだ。オレ、そういうのが好きで……
騎士ものって結局恋愛ものが多いから、
結果的に恋愛もの好きみたいになってるけど」",M-01,K-01,,,back-006,,,,,,,,,V-2432,,$
2433,クライン,"「とにかく、見てみりゃあんたも絶対気に入るよ。
あんまゆっくりしてたら遅刻しちまうし、行こうぜ」",M-01,K-01,,,back-006/SO,,,,,,,,SE-006,V-2433,,$
2434,メイア,"「わあ……！
すごい、大きな劇場……」",M-05,K-01,,,back-017/SI,,,,,,,,,,,$
2435,クライン,「もしかして、これを見るのも初めてなのか？」,M-05,K-05,,,back-017,,,,,,,,,V-2435,,$
2436,メイア,「う、うん……そんなに有名なの？」,M-05,K-05,,,back-017,,,,,,,,,,,$
2437,クライン,"「そりゃお前、アインの名所だぜ。
アインに観光客が来る目的っつったら、まずここしかない」",M-05,K-02,,,back-017,,,,,,,,,V-2437,,$
2438,クライン,"「元々演劇の栄えてた街だったけど、十年前くらいだったか？
古かった劇場を一から造り直したんだ」",M-05,K-01,,,back-017,,,,,,,,,V-2438,,$
2439,クライン,"「地元の劇団もそれに合わせて、
地方から優秀な奴を引き抜いたりしてな」",M-05,K-01,,,back-017,,,,,,,,,V-2439,,$
2440,クライン,"「結果はもちろん、大盛況！
こけら落とし公演なんかそりゃえらい盛り上がりでな……
あの日からだよ、アインが演劇で有名になりだしたのは」",M-05,K-03,,,back-017,,,,,,,,,V-2440,,$
2441,メイア,「……」,M-05,,,,back-017,,,,,,,,,,,$
2442,クライン,"「……あっ！　わ、わりぃ。
喋りすぎちまったか……？」",M-05,K-05,,,back-017,,,,,,,,,V-2442,,$
2443,メイア,"「ううん、そうじゃなくて……
クラインって、すごく演劇が好きなんだね。
顔がいきいきしてるもの」",M-01,,,,back-017,,,,,,,,,,,$
2444,クライン,「え……そ、そうだったか？」,M-01,K-05,,,back-017,,,,,,,,,V-2444,,$
2445,クライン,"「まあ……そうだな。
小っちゃい頃から劇は見てたし……
オレ、ヒーローにずっと憧れてたから」",M-01,K-01,,,back-017,,,,,,,,,V-2445,,$
2446,クライン,"「舞台の上の騎士や王子がカッコよく殺陣するの見るの、好きなんだ。
オレもあれくらいカッコよくなれたらって……正直、今も思ってる」",M-01,K-01,,,back-017,,,,,,,,,V-2446,,$
2447,クライン,"「だから、あんたにも見てもらいたくて……
できれば気に入ってくれて、一緒に話せたらなーって……
あ、いや、気に入らなかったらいいんだけど」",M-01,K-01,,,back-017,,,,,,,,,V-2447,,$
,,,,,,,,楽しみだよ/KleinLove_low,プレゼンしてみて/KleinLove_high,,,,,,,,,$
2448,メイア,「クラインが楽しそうに話すの聞いてたら俄然楽しみになってきたよ」,M-02,K-01,,,back-017,,,Aonly,,,,,,,,$
2449,メイア,"「そもそも私、劇を見るのって初めてだから、
初めて見るのがクラインお気に入りの演目で良かった」",M-01,K-01,,,back-017,,,Aonly,,,,,,,,$
2450,クライン,"「っ……そっか。そう言ってくれると、なんか嬉しいな。
面白さはオレが保証するから、そこは安心していいぜ！」",M-01,K-03,,,back-017,,,Aonly,,,,,,V-2450,,$
2451,メイア,「うーん……具体的に今から見るやつの何が面白いのか、プレゼンしてみてくれる？」,M-01,K-01,,,back-017,,,Bonly,,,,,,,,$
2452,クライン,"「プ、プレゼン！？
えっ……ちょ、ちょっと……五分待ってくれ！」",M-01,K-06,,,back-017,,,Bonly,,,,,,V-2452,,$
2453,クライン,「ええと……プレゼンってどうするんだ？」,M-01,K-06,,,back-017,,,Bonly,,,,,,V-2453,,$
2454,クライン,"「えっと、あらすじ……は言ったらダメか。
それじゃ役者の……演技とか……いや、殺陣の話のほうがいいか？
それとも恋愛シーンの……」",M-01,K-07,,,back-017,,,Bonly,,,,,,V-2454,,$
2455,メイア,"「……ぷっ。ご、ごめん……！　冗談のつもりだったの。
そんな真面目に返してくれると思わなくて……」",M-02,K-07,,,back-017,,,Bonly,,,,,,,,$
2456,クライン,"「冗談！？　おま……おまえなあ……！
驚かすなよ！」",M-02,K-06,,,back-017,,,Bonly,,,,,,V-2456,,$
2457,メイア,"「ご、ごめんごめん……！
面白そうなのはクラインの話で充分伝わってるから大丈夫だよ」",M-02,K-06,,,back-017,,,Bonly,,,,,,,,$
2458,クライン,"「そ、そっか？　ならよかった……
あんたも気に入ると思うから、期待してていいぜ」",M-02,K-01,,,back-017,,,Bonly,,,,,,V-2458,,$
2459,クライン,"「よし！　じゃ、そろそろ行くか。
いい席取っといたんだ。こっち！」",M-01/M-02,K-01,,,back-017/FO,,,,,,,,,V-2459,,$
2460,メイア,（わあ……！）,,,,,back-018-1/FI/FO,,,,,,,,SE-035,,,$
