,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
1450,メイア,「……今日、雨が酷いな」,M-04,,,,back-015-night/FI,,,,,,,BGM-009/CI,SE-026,,,$
1451,メイア,（そのせいか屋敷の中もどんよりしてる気がする……こんなんじゃ、余計気が滅入っちゃう）,M-04,,,,back-015-night,,,,,,,,SE-026,,,$
1452,メイア,"（……リートさんは、大丈夫かな。
具合、悪化してないといいんだけど……）",M-04,,,,back-015-night,,,,,,,,SE-026,,,$
1453,メイア,（…………）,M-04,,,,back-015-night,,,,,,,,SE-026,,,$
1454,メイア,「……あれ？」,M-05,,,,back-015-night,,,,,,,,SE-026,,,$
1455,メイア,（執務室、開いてる……どうしたんだろう）,M-05,,,,back-015-night,,,,,,,,SE-026,,,$
1456,メイア,"（……まさか、中で倒れてるなんてこと……！
テオさんは出かけてるし、もしものことがあったら……！）",M-04,,,,back-015-night,,,,,,,,SE-026,,,$
1457,メイア,「リートさん！！」,M-07,,,,back-015-night/SO,,,,,,,,SE-026,,,$
1458,メイア,「……あれ？」,M-05,,,,back-005-night/SI,,,,,,,,SE-024,,,$
1459,メイア,（誰もいない……リートさんは？）,M-04,,,,back-005-night,,,,,,,,,,,$
1460,メイア,「……どこか行ったのかな」,M-04,,,,back-005-night,,,,,,,,,,,$
1461,メイア,（窓開けてないのかな。少し埃っぽい……換気だけしておこう。本当は掃除もしたいけど……）,M-04,,,,back-005-night,,,,,,,,,,,$
1462,メイア,（机もごちゃついてる。空き瓶とかいっぱいあって……）,M-04,,,,back-005-night,,,,,,,,,,,$
1463,メイア,「……空き瓶？」,M-05,,,,back-005-night,,,,,,,,,,,$
1464,メイア,（こっちは中身がある。……錠剤、だよね。……この瓶、全部）,M-04,,,,back-005-night,,,,,N-object-009,,,,,,$
1465,メイア,（……いくら症状が酷いからって、こんなにたくさん空き瓶……一瓶に入ってる量が少ないわけでもないのに）,M-04,,,,back-005-night,,,,,,,,,,,$
1466,メイア,「これじゃ、まるで乱用してるみたい――」,M-04,,,,back-005-night,,,,,,,,,,,$
1467,リート,「――何をしている」,M-04,,,,back-005-night,,,,,,,,,V-1467,,$
1468,メイア,「あ……！」,M-05,,,,back-005-night,,,,,,,,,,,$
1469,リート,「――！ ……おまえ」,M-05,L-06,,,back-005-night,,,,,,,,,V-1469,,$
1470,メイア,"「……リ、リートさん……
あの、この瓶って……薬、ですよね」",M-04,L-06,,,back-005-night,,,,,,,,,,,$
1471,リート,「……」,M-04,L-01a,,,back-005-night,,,,,,,,,V-1471,,$
1472,メイア,「この空き瓶の数……いくらなんでも、こんなに消費するものじゃ……」,M-04,L-01a,,,back-005-night,,,,,,,,,,,$
1473,メイア,「リートさん、もしかして……」,M-04,L-01a,,,back-005-night,,,,,,,,,,,$
1474,リート,「……お前には関係無いだろう」,M-04,L-03,,,back-005-night,,,,,,,,,V-1474,,$
1475,メイア,「そんなことありません！ 私はリートさんの使用人ですし、ご主人様の健康を お守りするのも努めです」,M-07,L-03,,,back-005-night,,,,,,,,,,,$
1476,メイア,「薬の用量が守れないほど辛いなら、テオさんに報告を……」,M-04,L-03,,,back-005-night,,,,,,,,,,,$
1477,リート,"「一介の使用人如きが干渉してくるなと言っているんだ。
……迷惑だ」",M-04,L-06,,,back-005-night,,,,,,,,,V-1477,,$
1478,メイア,「……リート、さん？」,M-04,L-06,,,back-005-night,,,,,,,,,,,$
1479,リート,「そもそもお前は、正式にはここの使用人ですらない。情けで屋敷に置いてやっているのを忘れたのか？」,M-04,L-01,,,back-005-night,,,,,,,,,V-1479,,$
1480,リート,"「期日の三ヶ月も近い。仕事は見つけたのか？
まさか、のうのうとここに居座ろうとしていたわけではないだろうな」",M-04,L-01,,,back-005-night,,,,,,,,,V-1480,,$
1481,メイア,「それは……」,M-04,L-01,,,back-005-night,,,,,,,,,,,$
1482,リート,「……だから嫌だったんだ。誰かと共に生活をするのは」,M-04,L-04,,,back-005-night,,,,,,,,,V-1482,,$
1483,メイア,「リートさん、私は――」,M-04,L-04,,,back-005-night,,,,,,,,,,,$
1484,リート,「今すぐ出ていけ。もう二度とこの屋敷には近寄るな」,M-04,L-06,,,back-005-night,,,,,,,,,V-1484,,$
1485,メイア,「……！」,M-06,L-06,,,back-005-night,,,,,,,,,,,$
1486,リート,"「主人の部屋に勝手に入るような使用人、置いておけるわけがない。
そうでなくとも、他人がいる環境は苦痛だったんだ。……漸く気が休まる」",M-06,L-06,,,back-005-night,,,,,,,,,V-1486,,$
1487,メイア,「あ……わ、わたし……」,M-06,L-06,,,back-005-night,,,,,,,,,,,$
1488,リート,「早く出ていけ！」,M-06,L-07,,,back-005-night,,,,,,,,,V-1488,,$
1489,メイア,「ッ……！」,M-04,L-07,,,back-005-night/FO,,,,,,,,,,,$
1490,メイア,「……」,M-06,,,,back-015-night/FI,,,,,,,,SE-024,,,$
1491,メイア,「リートさん……」,M-04,,,,back-015-night,,,,,,,,,,,$
1492,メイア,「……」,M-04,,,,back-015-night,,,,,N-object-007,,BGM-009/FO,,,,$
,,,,,,,,屋敷を出る/end,もう一度執務室に行く,,,,,,,,,$
1493,メイア,（……これ以上、リートさんに迷惑はかけられない）,M-04,,,,back-015-night/SO,,,Aonly,,,,BGM-010/CI,,,,$
1494,テオドア,「……メイアさん」,M-04,T-01,,,back-013-night/SI,,,Aonly,,,,,SE-026,,,$
1495,メイア,「あ……テオさん」,M-05,T-01,,,back-013-night,,,Aonly,,,,,,,,$
1496,テオドア,「……ね、少し付き合ってくれないかな」,M-05,T-01,,,back-013-night,,,Aonly,,,,,,V-1496,,$
1497,メイア,"「え……？　今戻ってきたばかりですよね？
それに土砂降りですし……」",M-04,T-01,,,back-013-night,,,Aonly,,,,,,,,$
1498,テオドア,「大丈夫、行こう。傘は持ってるね？」,M-04,T-01,,,back-013-night,,,Aonly,,,,,,V-1498,,$
1499,メイア,「……わかりました」,M-04,T-01,,,back-013-night/SO,,,Aonly,,,,,,,,$
1500,テオドア,「…………」,M-04,T-03,,,back-001/SI,,,Aonly,,,,,SE-026,V-1500,,$
1501,メイア,「…………」,M-04,T-03,,,back-001/SO,,,Aonly,,,,,,,,$
1502,メイア,「……街？」,M-04,T-03,,,back-006-night/SI,,,Aonly,,,,,SE-026,,,$
1503,メイア,「テオさん、あの……」,M-04,T-03,,,back-006-night,,,Aonly,,,,,,,,$
1504,テオドア,「これ」,M-04,T-01,,,back-006-night,,,Aonly,,,,,,V-1504,,$
1505,メイア,「……え……？」,M-06,T-01,,,back-006-night,,,Aonly,,N-object-010,,,,,,$
1506,テオドア,"「ここから北に行ったところに港があるのは分かるね？
封筒の中にチケットが入ってるから、それで30分後に出る船に乗って。途中で降りないで、最後まで乗っていればいいから」",M-06,T-01,,,back-006-night,,,Aonly,,,,,,V-1506,,$
1507,メイア,「な、え……？　て、テオさん……？」,M-06,T-01,,,back-006-night,,,Aonly,,,,,,,,$
1508,テオドア,"「向こうの港についたら迎えがいる。
僕の名前を出せば分かるだろうから。そうしたら後は、向こうが良くしてくれるよ。僕の知り合いだから保証する」",M-06,T-01,,,back-006-night,,,Aonly,,,,,,V-1508,,$
1509,メイア,"「待って下さい！
な……何を言っているんですか。私は……」",M-07,T-01,,,back-006-night,,,Aonly,,,,,,,,$
1510,テオドア,「ごめん、メイアさん。きみとの約束を守れなくて……」,M-07,T-04,,,back-006-night,,,Aonly,,,,,,V-1510,,$
1511,メイア,「……っ」,M-04,T-04,,,back-006-night,,,Aonly,,,,,,,,$
1512,テオドア,"「でも、これがあいつの願いなんだ。
……分かってあげて。あいつなりの、きみへの想いなんだよ。……不器用だけどね」",M-04,T-04,,,back-006-night,,,Aonly,,,,,,V-1512,,$
1513,メイア,「……何を、言ってるんですか。……私、お屋敷に戻ります。リートさんの具合が……」,M-04,T-04,,,back-006-night,,,Aonly,,,,,,,,$
1514,テオドア,「きみはもう、あの屋敷に戻っていけない」,M-04,T-04,,,back-006-night,,,Aonly,,,,,,V-1514,,$
1515,テオドア,「……きみにはね、幸せになってほしいんだよ。僕も、……リートも」,M-04,T-04,,,back-006-night,,,Aonly,,,,,,V-1515,,$
1516,テオドア,「だから――さようなら、メイアさん」,M-04,T-03a,,,back-006-night/FO,,,Aonly,,,,BGM-010/CO,,V-1516,,$
1517,,――私は、ある田舎のお屋敷でメイドとして働いている。,,,,,back-012/FI,,,Aonly,,,,BGM-033/CI,,,,$
1518,,"昔は中央の貴族屋敷で奴隷のような扱いを受けていたけれど、
今は優しいお家で働けているから幸せだ。きっと、幸運だったのだろう。",,,,,back-012,,,Aonly,,,,,,,,$
1519,,――でも、一つだけ分からないことがある。,,,,,back-012,,,Aonly,,,,,,,,$
1520,,……私は一体、どうやってあの屋敷から逃げてきたのだろう。,,,,,back-012,,,Aonly,,,,,,,,$
