,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
252,メイア,「……よし！」,M-01,,,,back-008/FI,,,,,,,BGM-002/CI,,,,$
253,メイア,（食堂は一通り綺麗にしたし、料理も用意した。今日こそは――）,M-01,,,,back-008,,,,,,,,,,,$
254,メイア,「今日こそは、リートさんを部屋の外に出す！」,M-07,,,,back-008,,,,,,,,,,,$
255,メイア,"（いつもいつも言われるままに執務室に運んでたけど、
あの感じだと一か月ずっと籠りきりでいそうだし……流石に、体に悪いよ）",M-04,,,,back-008,,,,,,,,,,,$
256,メイア,（せめて夜ごはんくらいはちゃんと、食堂で食べてもらおう！）,M-01,,,,back-008/SO,,,,,,,,,,,$
257,リート,「断る」,M-01,L-01a,,,back-005-sun/SI,,,,,,,,,V-0257,,$
258,メイア,「待ってください！！」,M-07,L-01a,,,back-005-sun,,,,,,,,,,,$
259,リート,「…………」,M-07,L-04,,,back-005-sun,,,,,,,,,V-0259,,$
260,メイア,（う……うわあ、すごい嫌そうな顔してる……）,M-04,L-04,,,back-005-sun,,,,,,,,,,,$
261,メイア,"（いや、でも今日は引かないって決めたんだ。
ここで挫けるわけには･･････）",M-07,L-04,,,back-005-sun,,,,,,,,,,,$
262,メイア,"「で、でもほら！リートさんもうずっとお部屋にいるじゃないですか。
少しは外の空気吸わないと、体に悪いですよ」",M-01,L-04,,,back-005-sun,,,,,,,,,,,$
263,リート,「お前に心配されるようなことは何もない」,M-01,L-01a,,,back-005-sun,,,,,,,,,V-0263,,$
264,メイア,「そ、そんな頑なにならなくても……」,M-04,L-01a,,,back-005-sun,,,,,,,,,,,$
265,リート,"「確かに、お前を屋敷に置くことは許した。
だが必要以上の干渉を許した覚えは無い。分かったら出ていけ」",M-04,L-01,,,back-005-sun,,,,,,,,,V-0265,,$
266,メイア,（うう……どうしよう？）,M-04,L-01,,,back-005-sun,,,,,,,,,,,$
,,,,,,,,誠心誠意頼んでみる/LiedLove_high,一回だけでいいですから！/LiedLove_low,,,,,,,,,$
267,メイア,"「でも、あの……心配です。ただでさえ陽の差さない街で、こんな森の中……
せめて室内でも少し動いたほうがいいと思います」",M-04,L-01,,,back-005-sun,,,Aonly,,,,,,,,$
268,メイア,"「私、お屋敷中掃除したんです。勿論、食堂も。
ですから、埃っぽくて居づらいなんてことも無いと思います」",M-04,L-01,,,back-005-sun,,,Aonly,,,,,,,,$
269,リート,「…………」,M-04,L-01a,,,back-005-sun,,,Aonly,,,,,,V-0269,,$
270,メイア,「人が居るのが嫌なら、私は料理だけ出して外にいます。だから──」,M-04,L-01a,,,back-005-sun,,,Aonly,,,,,,,,$
271,リート,「……分かった、行けばいいんだろう」,M-04,L-04,,,back-005-sun,,,Aonly,,,,,,V-0271,,$
272,メイア,「だから──って、え？」,M-04,L-04,,,back-005-sun,,,Aonly,,,,,,,,$
273,メイア,「……今、わかったって言いました？」,M-05,L-04,,,back-005-sun,,,Aonly,,,,,,,,$
274,リート,「ああ。……行くからその捨て犬のような顔をやめてくれ。やりにくい」,M-05,L-01,,,back-005-sun,,,Aonly,,,,,,V-0274,,$
275,メイア,「……っ！　ありがとうございます！」,M-02,L-01,,,back-005-sun,,,Aonly,,,,,,,,$
276,メイア,「だ……だったら一回！一回だけでいいです！」,M-07,L-01,,,back-005-sun,,,Bonly,,,,,,,,$
277,メイア,"「一回食堂で食事してもらって、それでやっぱりお部屋の方が良ければお部屋に戻ってもらって構いません！
ですから、一回だけチャンスをください！」",M-07,L-01,,,back-005-sun,,,Bonly,,,,,,,,$
278,リート,「……一回でいいんだな」,M-07,L-01a,,,back-005-sun,,,Bonly,,,,,,V-0278,,$
279,メイア,「……！　はいっ！　ありがとうございます！」,M-02,L-01a,,,back-005-sun,,,Bonly,,,,,,,,$
,,,,,,,,,,,,,,,,,,$
280,リート,「……まったく」,M-02,L-04,,,back-005-sun/SO,,,,,,,,,V-0280,,$
281,リート,「……！」,M-02,L-05,,,back-014/SI,,,,,,,,,V-0281,,$
282,メイア,「さ、どうぞ！　リートさん！」,M-02,L-05,,,back-014,,,,,,,,,,,$
283,リート,「……これは、全てお前がやったのか？」,M-02,L-05,,,back-014,,,,,,,,,V-0283,,$
284,メイア,「これ？　……あ、掃除のことですか？　はい、私が」,M-01,L-05,,,back-014,,,,,,,,,,,$
285,メイア,"「机も椅子も、暖炉も全部埃かぶってて最初はどうしようかと
思ったんですけど……」",M-04,L-05,,,back-014,,,,,,,,,,,$
286,リート,"「そうだろうな。この食堂なんて俺が来て以来一度も扉を開いていない。
……一人で手に負える状態ではなかっただろう」",M-04,L-01,,,back-014,,,,,,,,,V-0286,,$
