,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
1333,テオドア,「――リート、具合は？」,,,T-01,,back-005-sun/FI,,,,,,,BGM-009/CI,,V-1333,,$
1334,リート,"「……ああ。今は薬が効いていて、落ち着いている。
常に気持ち悪さは拭えないが、目眩があるときよりはマシだ」",,,T-01,L-01,back-005-sun,,,,,,,,,V-1334,,$
1335,テオドア,「そう……薬の効き目は今、どれくらいかな」,,,T-01,L-01,back-005-sun,,,,,,,,,V-1335,,$
1336,リート,"「少なくとも、以前の一日三回の頻度では足りない。
頓服のようになってしまっているのが現状だが……
昨日は確か、十回を越していた」",,,T-01,L-08,back-005-sun,,,,,,,,,V-1336,,$
1337,テオドア,「……吐き気、酷いだろ。副作用の」,,,T-04,L-08,back-005-sun,,,,,,,,,V-1337,,$
1338,リート,「薬が切れるよりはずっといい」,,,T-04,L-01a,back-005-sun,,,,,,,,,V-1338,,$
1339,テオドア,"「けど、薬が効いてても普通の食材も食べられない……
今の薬じゃ抑えきれないのは確かだ。
……これ以上強い効力のものは、きみが持たない」",,,T-04,L-01a,back-005-sun,,,,,,,,,V-1339,,$
1340,リート,"「……どうして、いきなり……前触れも何も無かった。
あの日だって、特別なことをしたわけではない」",,,T-04,L-08,back-005-sun,,,,,,,,,V-1340,,$
1341,リート,「……やはり、限界なのか。所詮、ただの人の真似事でしか……」,,,T-04,L-08,back-005-sun,,,,,,,,,V-1341,,$
1342,テオドア,"「……今は、キミの体の方が心配だ。
なりふり構っていられない。ねえ、リート……」",,,T-04,L-08,back-005-sun,,,,,,,,,V-1342,,$
1343,テオドア,「……血は、飲んだ？」,,,T-03,L-08,back-005-sun,,,,,,,,,V-1343,,$
1344,リート,「…………」,,,T-03,L-06,back-005-sun,,,,,,,,,V-1344,,$
