,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
964,メイア,「……うん、よく育ってる」,M-01,,,,back-013,,,,,,,BGM-002/CI,,,,$
965,メイア,（……でも、中々蕾ができないな。ずっとここで止まってる……）,M-04,,,,back-013,,,,,,,,,,,$
966,メイア,「……肥料とか、使った方がいいのかな。今度お花屋さんに聞いてみよう」,M-04,,,,back-013,,,,,,,,,,,$
967,？？？,「――すみません。よろしいですか？」,M-04,,,,back-013,,,,,,,,,V-0967,,$
968,メイア,「え……？ あ、はい！」,M-05,,,,back-013/SE_textout,,,,,,,,SE-003,,,$
969,メイア,「…………」,M-05,T-01,,,back-003,,,,,,,,,,,$
970,メイア,「ええと、もしかして……お客様、ですか？」,M-05,T-01,,,back-003,,,,,,,,,,,$
971,？？？,"「はい。ベルネット伯爵と今日約束をしていまして。
お取り次ぎをお願いしても？」",M-05,T-02,,,back-003,,,,,,,,,V-0971,,$
972,メイア,「はっ、はい！」,M-05,T-02,,,back-003,,,,,,,,,,,$
973,メイア,"（こ、このお屋敷にお客さんなんて……！
いや、来てもおかしくはない……けど）",M-05,T-02,,,back-003,,,,,,,,,,,$
974,リート,「――今日も時間通りだな、テオドア」,M-05,,T-02,L-01,back-003,,,,,,,,,V-0974,,$
975,？？？,「やあリート、久しぶり。元気そうで何よりだよ」,M-05,,T-01,L-01,back-003,,,,,,,,,V-0975,,$
976,リート,「お前こそ、変わりは無いようだな」,M-05,,T-01,L-01a,back-003,,,,,,,,,V-0976,,$
977,？？？,"「うん。半年前と何も変わらず。
キミの方は……変わったみたいだね」",M-05,,T-01,L-01a,back-003,,,,,,,,,V-0977,,$
978,リート,「ああ……彼女は、メイア。……うちのメイドだ」,M-05,,T-01,L-08,back-003,,,,,,,,,V-0978,,$
979,？？？,「……へえ！」,M-05,,T-02,L-08,back-003,,,,,,,,,V-0979,,$
980,？？？,"「驚いた。
まさか、キミがこんな可愛いメイドさんを雇ってるだなんて」",M-05,,T-02,L-08,back-003,,,,,,,,,V-0980,,$
981,リート,「……」,M-05,,T-02,L-04,back-003,,,,,,,,,V-0981,,$
982,テオドア,"「初めまして、メイアさん。
僕はテオドア・バーンズ。医者をしています。
リートとは、学生時代からの友人なんだ」",M-05,,T-01,L-04,back-003,,,,,,,,,V-0982,,$
983,メイア,「……」,M-01,,T-01,L-04,back-003,,,,,,,,,,,$
,,,,,,,,リートさんてご友人がいらっしゃったんですね……/LiedLove_low,医学部だったんですか？,,,,,,,,,$
984,リート,「……は？」,M-01,,T-01,L-06,back-003,,,Aonly,,,,,,V-0984,,$
985,テオドア,「ぷっ」,M-01,,T-02,L-06,back-003,,,Aonly,,,,,,V-0985,,$
986,メイア,「あっ、へ、変な意味じゃないです！ すみません……！」,M-04,,T-02,L-06,back-003,,,Aonly,,,,,,,,$
987,テオドア,"「ふふっ……いや、わかるよ。ビックリするよね。
でも実際、僕以外に友人なんていないから」",M-04,,T-02,L-06,back-003,,,Aonly,,,,,,V-0987,,$
988,リート,「……テオドア」,M-04,,T-02,L-06,back-003,,,Aonly,,,,,,V-0988,,$
989,テオドア,「あれ、言っちゃだめだった？」,M-04,,T-01,L-06,back-003,,,Aonly,,,,,,V-0989,,$
990,リート,「…………」,M-04,,T-01,L-04,back-003,,,Aonly,,,,,,V-0990,,$
991,メイア,「……ということは、リートさんも医学部だったんですか？」,M-01,,T-01,L-04,back-003,,,Bonly,,,,,,,,$
