,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
814,メイア,「……」,M-04,,,,back-009/FI,,,,,,,BGM-002/CI,,,,$
815,メイア,"（あれから自分なりに『黄金の血』について調べてみたけど、
それらしい情報は何も見つからなかった）",M-04,,,,back-009,,,,,,,,,,,$
816,メイア,"（吸血鬼が言っていたあの言葉……本当は、ただの聞き間違いだったのかな。
そうでなくても、あんまり深い意味は無いのかもしれない）",M-04,,,,back-009,,,,,,,,,,,$
817,メイア,"（ちょっと美味しいりんごとか、そういう意味なのかもしれないし。
考えすぎなのもあんまりよくないよね。
折角リートさんと、最近楽しくお話できてるのに……）",M-04,,,,back-009,,,,,,,,,,,$
818,メイア,"（――リートさん……昔、吸血鬼と何かあったのかな。
あのとき、すごい動揺してたようだし……）",M-04,,,,back-009,,,,,,,,,,,$
819,メイア,"（……こんなところに一人でいるのも、
昔吸血鬼に襲われたから、とかなのかな……）",M-04,,,,back-009,,,,,,,,,,,$
820,リート,「……メイア、聞こえているか？」,M-04,,,,back-009,,,,,,,,,V-0820,,$
821,メイア,「えっ！？！？」,M-05,,,,back-009,,,,,,,,,,,$
822,リート,「っ……なんだ、いきなり」,M-05,L-05,,,back-009,,,,,,,,,V-0822,,$
823,メイア,「リ、リートさんが突然声かけるから……びっくりするじゃないですか」,M-05,L-05,,,back-009,,,,,,,,,,,$
824,リート,「普通に声をかけたつもりだったんだが……驚かせたようならすまない」,M-05,L-01,,,back-009,,,,,,,,,V-0824,,$
825,メイア,"「え、えっと……リートさんはどうしてここに？
あ、お仕事とかありました？」",M-01,L-01,,,back-009,,,,,,,,,,,$
826,リート,「いや、本を取りに来ただけだ。お前は、掃除か？」,M-01,L-01,,,back-009,,,,,,,,,V-0826,,$
827,メイア,「あ、いえ……私も少し、本を読みに」,M-01,L-01,,,back-009,,,,,,,,,,,$
828,リート,「そうか。……ん？ その本……」,M-01,L-05,,,back-009,,,,,,,,,V-0828,,$
829,メイア,「あ、これですか？ これは表紙がきれいだったので、つい手に取っちゃって」,M-01,L-05,,,back-009,,,,,,,,,,,$
830,リート,"「ああ、成程。それは確か遠い小国の児童向け小説でな。
言語が少し難解なものだから、読解が難しいだろう」",M-01,L-01,,,back-009,,,,,,,,,V-0830,,$
831,メイア,「え……あ、本当だ。全然読めない……」,M-04,L-01,,,back-009,,,,,,,,,,,$
832,リート,「……貸してみろ」,M-04,L-01a,,,back-009,,,,,,,,,V-0832,,$
833,メイア,「わ……」,M-05,L-01/BU,,,back-009/FO,,,,,,,,SE-019,,,$
834,メイア,（ち、近くてびっくりしちゃった）,M-03,L-01/BU,,,still-013/FI,,,,,,,,,,,$
835,リート,「……ふむ」,M-03,L-08-BU,,,still-013,,,,,,,,,V-0835,,$
836,リート,"「姫と王子の、よくあるおとぎ話だな。
母親が平民の出であることが原因で廃嫡された姫が、
古びた城に一人で住む王子に拾われる。
城の使用人として働くうちに、二人が恋仲になっていく」",M-03,L-01/BU,,,still-013,,,,,,,,,V-0836,,$
837,メイア,「へえ……なんだか、私とリートさんみたいですね」,M-01,L-01/BU,,,still-013,,,,,,,,,,,$
838,リート,「俺は王子ではないがな」,M-01,L-01a/BU,,,still-013,,,,,,,,,V-0838,,$
839,メイア,「その話、最後はどうなるんですか？」,M-01,L-01a/BU,,,still-013,,,,,,,,,,,$
840,リート,「……気になるなら、お前自身で読んでみたらいい」,M-01,L-01/BU,,,still-013,,,,,,,,,V-0840,,$
841,メイア,「私が？　でも、異国の言葉なんて読めませんよ」,M-05,L-01/BU,,,still-013,,,,,,,,,,,$
842,リート,"「暇があるときにでも教えてやる。
ただ読み聞かせるよりよっぽど良いだろう」",M-05,L-01/BU,,,still-013,,,,,,,,,V-0842,,$
843,メイア,「い、いいんですか？」,M-05,L-01/BU,,,still-013/FO,,,,,,,,,,,$
844,リート,「いいから言っているんだ」,M-05,L-08-BU,,,still-013-a/FI,,,,,,,,,V-0844,,$
845,メイア,「あ……ありがとうございます！」,M-02,L-08-BU,,,still-013-a,,,,,,,,,,,$
846,リート,「ああ」,M-02,L-01a/BU,,,still-013-a/FO,,,,,,,,,V-0846,,$
847,リート,「っと……いけない、今何時だ？」,M-02,L-05,,,back-009/FI,,,,,,,,,V-0847,,$
848,メイア,「え？ えっと……あ、三時です」,M-01,L-05,,,back-009,,,,,,,,,,,$
849,リート,"「そうか。すまない、締め切りが近くてな。
あまりゆっくりしていられない」",M-01,L-01,,,back-009,,,,,,,,,V-0849,,$
850,メイア,「あ、そうだったんですね。すみません、お引き止めしちゃって」,M-04,L-01,,,back-009,,,,,,,,,,,$
851,リート,"「話しかけたのは俺だ、構わない。
……悪いが、少しそこをどいてくれるか？
 確かこの棚に本があったはずでな」",M-04,L-01,,,back-009,,,,,,,,,V-0851,,$
852,メイア,（……？）,M-10,L-01,,,back-009,,,,,,,,SE-011,,,$
853,メイア,「あの……リートさん」,M-01,L-01,,,back-009,,,,,,,,,,,$
854,リート,「……ん、なんだ？」,M-01,L-01,,,back-009,,,,,,,,,V-0854,,$
855,メイア,「リートさんの胸ポケットのチェーンって、懐中時計じゃないんですか？」,M-04,L-01,,,back-009,,,,,,,,,,,$
856,リート,「……ああ、これか。これは……確かにそうだが、壊れているんだ」,M-04,L-01a,,,back-009,,,,,,,,,V-0856,,$
857,リート,"「ただ持ち歩いているだけで、時計としての役割は果たしていない。
……身につけているのが習慣になってしまっていてな」",M-04,L-01,,,back-009,,,,,,,,,V-0857,,$
858,メイア,「わ、すごい綺麗……」,M-05,L-01,,,back-009,,,,,N-object-005,,,,,,$
859,メイア,"「こんな立派なのに、
ちゃんと時計として使えないなんて勿体ないですね……」",M-04,L-01,,,back-009,,,,,N-object-005,,,,,,$
860,リート,「……気に入ったなのなら、お前にやる」,M-04,L-01,,,back-009,,,,,,,,,V-0860,,$
861,メイア,"「……えっ！？ も、貰えませんよ！
大切なものじゃないんですか？」",M-05,L-01,,,back-009,,,,,,,,,,,$
