,キャラ名,台詞,メイア表情,一人表示,二人表示・A,二人表示・B,背景・画面遷移,選択肢A,選択肢B,選択肢補足,画面効果,画像オブジェクト,エフェクト,BGM,SE,ボイス,備考,$
340,メイア,"「──どうですか？
今日は少し趣向を変えて、和食にしてみたんです。
東洋の島国では、こういう質素でヘルシーなお料理が多いらしいですよ」",M-02,L-01,,,back-014/FI,,,,,,,BGM-023/CI,,,,$
341,メイア,"「これは『肉じゃが』って言うんですけど、
全然違うのに調理法はシチューと一緒なんです！
びっくりしちゃいました」",M-01,L-01,,,back-014,,,,,,,,,,,$
342,リート,「……お前は毎日よく喋るな」,M-01,L-04,,,back-014,,,,,,,,,V-0342,,$
343,メイア,「あっ、すみません！煩かったですか……！？」,M-04,L-04,,,back-014,,,,,,,,,,,$
344,リート,「いい。慣れた」,M-04,L-01a,,,back-014,,,,,,,,,V-0344,,$
345,リート,"「……お前は家事全般の能力がかなり高いように見える。
ずっと使用人として働いていたのか？」",M-04,L-01,,,back-014,,,,,,,,,V-0345,,$
346,メイア,"「ええっと、そうですね。前の主人に買われてからなので……
幼少の頃から基本的な使用人の仕事はしていました」",M-01,L-01,,,back-014,,,,,,,,,,,$
347,リート,「……買われた？」,M-01,L-03,,,back-014,,,,,,,,,V-0347,,$
348,メイア,「私、奴隷上がりなんです。8歳の頃に両親が亡くなって」,M-01,L-03,,,back-014,,,,,,,,,,,$
349,メイア,"「読み書きは簡単なものなら既に覚えていたし、
買われたのも貴族の屋敷でしたから、運は良い方でした」",M-01,L-03,,,back-014,,,,,,,,,,,$
350,リート,「……そうか」,M-01,L-01a,,,back-014,,,,,,,,,V-0350,,$
351,メイア,"「あ、でも全然気にしてないので！
すみません、変な話をしてしまいました」",M-05,L-01a,,,back-014,,,,,,,,,,,$
352,リート,「いや、聞いたのは俺だ。お前に責任は無い」,M-05,L-01,,,back-014,,,,,,,,,V-0352,,$
353,メイア,"「……そうだ、それじゃあリートさんは？
リートさんのことも知りたいです」",M-01,L-01,,,back-014,,,,,,,,,,,$
354,リート,「……俺の？」,M-01,L-03,,,back-014,,,,,,,,,V-0354,,$
355,メイア,"「私、思えばリートさんのこと全然知らないなと思って。
執務室に居られるとき、いつも何か書かれてますけど……
あれはお仕事ですか？」",M-01,L-03,,,back-014,,,,,,,,,,,$
356,メイア,「あ、答えたくなければ答えなくても……」,M-04,L-03,,,back-014,,,,,,,,,,,$
357,リート,「構わん、お前にばかり話させるのも悪い」,M-04,L-01a,,,back-014,,,,,,,,,V-0357,,$
358,リート,「お前の言う通り、あれは仕事だ。海外の本の翻訳をしている」,M-04,L-01,,,back-014,,,,,,,,,V-0358,,$
