概要,表示するテキスト,表示期間,$
リート1章解放条件,10/15までに好感度10,10/10～10/14,$
リート2章解放条件,10/20までに好感度15,10/16～10/19,$
リート3章解放条件,10/30までに好感度20,10/21～10/29,$
リート4章解放条件,11/8までに好感度25,10/31～11/7,$
リート5章解放条件,11/15までに好感度30,11/9～11/14,$
リート6章解放条件,11/17までに好感度35,11/16,$
リート7章解放条件,11/25までに好感度40,11/18～11/24,$
リート8章解放条件,11/30までに好感度45,11/26～11/29,$
リート9章解放条件,12/3までに好感度50,11/30～12/2,$
リート10章解放条件,12/6までに好感度55,12/4～12/5,$
リート11章解放条件,12/9までに好感度60,12/6～12/8,$
クライン1章解放条件,10/16までに好感度10,10/10～10/15,$
クライン2章解放条件,10/18までに好感度15,10/16～10/17,$
クライン3章解放条件,10/25までに好感度20,10/18～10/24,$
クライン4章解放条件,11/3までに好感度25,10/25～11/2,$
クライン5章解放条件,11/10までに好感度30,11/4～11/9,$
クライン6章解放条件,11/15までに好感度35,11/10～11/14,$
クライン7章解放条件,11/20までに好感度40,11/16～11/19,$
クライン8章解放条件,11/27までに好感度45,11/20～11/26,$
クライン9章解放条件,12/3までに好感度50,11/27～12/2,$
クライン10章解放条件,12/7までに好感度55,12/3～12/6,$
クライン11章解放条件,12/9までに好感度60,12/8～9,$
条件達成,Clear！,,$
攻略失敗,攻略失敗,,$
